DivisionNm,CountNumber,BallotPosition,Surname,GivenNm,PartyAb,PartyNm,Elected,PreferenceCount,PreferencePercent,TransferCount,TransferPercent,Winner,DistributingBallotPosition,DistributingSurname,DistributingGivenNm,DistributingPartyAb,DistributingPartyNm
Cook,0,7,LUI,Cynthia,ALP,Australian Labor Party (State of Queensland),Y,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Cook,0,8,GOULMY,Stephen,UAP,Clive Palmer's United Australia Party,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Cook,0,9,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Coomera,0,1,GAVRANICH,Lissy,The Greens,Queensland Greens,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Coomera,0,2,JOHNSON,Chris,ALP,Australian Labor Party (State of Queensland),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Coomera,0,3,GALLAGHER,Heath,UAP,Clive Palmer's United Australia Party,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Coomera,0,4,D'MONTFORD,She,IMOP,Informed Medical Options Party (IMOP),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Coomera,0,5,CRANDON,Michael,LNP,Liberal National Party of Queensland,Y,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Coomera,0,6,PROUT,Darryl,Animal Justice Party,Animal Justice Party (Queensland),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Coomera,0,7,BOURBON,Kris,IND,Independent,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Coomera,0,8,WILKINSON,Tabita,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Coomera,0,9,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Cooper,0,1,WILTSHIRE,Robert,IND,Independent,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Cooper,0,2,VENTNOR,Susan,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Cooper,0,3,WINSTON-ALLOM,Katinka,The Greens,Queensland Greens,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Cooper,0,4,WISEMAN,Trent,LNP,Liberal National Party of Queensland,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Cooper,0,5,BUSH,Jonty,ALP,Australian Labor Party (State of Queensland),Y,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Cooper,0,6,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Currumbin,0,1,TAKACS-THORNE,Tracy,IND,Independent,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Currumbin,0,2,STUCKEY,Richard,IND,Independent,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Currumbin,0,3,BURGOYNE,Peter,The Greens,Queensland Greens,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Currumbin,0,4,CAMPRADT,Kaylee,ALP,Australian Labor Party (State of Queensland),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Currumbin,0,5,GERBER,Laura,LNP,Liberal National Party of Queensland,Y,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Currumbin,0,6,WADSWORTH,Glen,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Currumbin,0,7,PALMER,Anna,UAP,Clive Palmer's United Australia Party,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Currumbin,0,8,LOGAN,Ian,IND,Independent,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Currumbin,0,9,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Everton,0,1,JOHNSON,Mal,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Everton,0,2,JORDAN,Frank,LCQP,Legalise Cannabis Qld (Party),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Everton,0,3,DISSANAYAKE,Joanne,IMOP,Informed Medical Options Party (IMOP),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Everton,0,4,MANDER,Tim,LNP,Liberal National Party of Queensland,Y,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
