DivisionNm,CountNumber,BallotPosition,Surname,GivenNm,PartyAb,PartyNm,Elected,PreferenceCount,PreferencePercent,TransferCount,TransferPercent,Winner,DistributingBallotPosition,DistributingSurname,DistributingGivenNm,DistributingPartyAb,DistributingPartyNm
Brisbane City Forest Lake,1,2,HOOPER,Roger,LNP,Liberal National Party of Queensland,N,8072,36.62,673,17.17,ALP,1,MULKEARNS,Jenny,GRN,Queensland Greens
Brisbane City Forest Lake,1,3,STRUNK,Charles,ALP,Australian Labor Party (State of Queensland),Y,13971,63.38,1304,33.27,ALP,1,MULKEARNS,Jenny,GRN,Queensland Greens
Brisbane City Forest Lake,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,1943,8.1,1943,49.57,ALP,1,MULKEARNS,Jenny,GRN,Queensland Greens
Brisbane City Hamilton,0,1,BERTRAM,Miranda,GRN,Queensland Greens,N,3632,16.42,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Hamilton,0,2,MCLACHLAN,David,LNP,Liberal National Party of Queensland,Y,14101,63.74,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Hamilton,0,3,MALZARD,Leah,ALP,Australian Labor Party (State of Queensland),N,4389,19.84,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Hamilton,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Hamilton,1,1,BERTRAM,Miranda,GRN,Queensland Greens,N,0,0,-3632,-100.0,LNP,1,BERTRAM,Miranda,GRN,Queensland Greens
Brisbane City Hamilton,1,2,MCLACHLAN,David,LNP,Liberal National Party of Queensland,Y,14471,70.46,370,10.19,LNP,1,BERTRAM,Miranda,GRN,Queensland Greens
Brisbane City Hamilton,1,3,MALZARD,Leah,ALP,Australian Labor Party (State of Queensland),N,6066,29.54,1677,46.17,LNP,1,BERTRAM,Miranda,GRN,Queensland Greens
Brisbane City Hamilton,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,1585,7.16,1585,43.64,LNP,1,BERTRAM,Miranda,GRN,Queensland Greens
Brisbane City Holland Park,0,1,AUGUSTON,Karleigh,ALP,Australian Labor Party (State of Queensland),N,7323,30.7,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Holland Park,0,2,GAMBLE,Jenny,GRN,Queensland Greens,N,4975,20.86,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Holland Park,0,3,ADAMS,Krista,LNP,Liberal National Party of Queensland,Y,11553,48.44,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Holland Park,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Holland Park,1,1,AUGUSTON,Karleigh,ALP,Australian Labor Party (State of Queensland),N,9924,45.28,2601,52.28,LNP,2,GAMBLE,Jenny,GRN,Queensland Greens
Brisbane City Holland Park,1,2,GAMBLE,Jenny,GRN,Queensland Greens,N,0,0,-4975,-100.0,LNP,2,GAMBLE,Jenny,GRN,Queensland Greens
Brisbane City Holland Park,1,3,ADAMS,Krista,LNP,Liberal National Party of Queensland,Y,11992,54.72,439,8.82,LNP,2,GAMBLE,Jenny,GRN,Queensland Greens
Brisbane City Holland Park,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,1935,8.11,1935,38.89,LNP,2,GAMBLE,Jenny,GRN,Queensland Greens
Brisbane City Jamboree,0,1,HUTTON,Sarah,LNP,Liberal National Party of Queensland,Y,13455,54.94,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Jamboree,0,2,MCKIE,Thomas,GRN,Queensland Greens,N,3039,12.41,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Jamboree,0,3,HOPPE,Rachel,ALP,Australian Labor Party (State of Queensland),N,7996,32.65,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Jamboree,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Jamboree,1,1,HUTTON,Sarah,LNP,Liberal National Party of Queensland,Y,13764,59.31,309,10.17,LNP,2,MCKIE,Thomas,GRN,Queensland Greens
Brisbane City Jamboree,1,2,MCKIE,Thomas,GRN,Queensland Greens,N,0,0,-3039,-100.0,LNP,2,MCKIE,Thomas,GRN,Queensland Greens
Brisbane City Jamboree,1,3,HOPPE,Rachel,ALP,Australian Labor Party (State of Queensland),N,9442,40.69,1446,47.58,LNP,2,MCKIE,Thomas,GRN,Queensland Greens
Brisbane City Jamboree,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,1284,5.24,1284,42.25,LNP,2,MCKIE,Thomas,GRN,Queensland Greens
Brisbane City McDowall,0,1,CULVERHOUSE,Liam,ALP,Australian Labor Party (State of Queensland),N,7380,29.73,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City McDowall,0,2,DAVIS,Tracy,LNP,Liberal National Party of Queensland,Y,14693,59.18,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City McDowall,0,3,SANDERSON,Joshua,GRN,Queensland Greens,N,2754,11.09,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City McDowall,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City McDowall,1,1,CULVERHOUSE,Liam,ALP,Australian Labor Party (State of Queensland),N,8611,36.46,1231,44.7,LNP,3,SANDERSON,Joshua,GRN,Queensland Greens
Brisbane City McDowall,1,2,DAVIS,Tracy,LNP,Liberal National Party of Queensland,Y,15006,63.54,313,11.37,LNP,3,SANDERSON,Joshua,GRN,Queensland Greens
Brisbane City McDowall,1,3,SANDERSON,Joshua,GRN,Queensland Greens,N,0,0,-2754,-100.0,LNP,3,SANDERSON,Joshua,GRN,Queensland Greens
Brisbane City McDowall,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,1210,4.87,1210,43.94,LNP,3,SANDERSON,Joshua,GRN,Queensland Greens
Brisbane City MacGregor,0,1,WOMERSLEY,Sean,GRN,Queensland Greens,N,2666,11.86,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City MacGregor,0,2,MCTIERNAN,Trent,ALP,Australian Labor Party (State of Queensland),N,6460,28.75,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City MacGregor,0,3,HUANG,Steven,LNP,Liberal National Party of Queensland,Y,13345,59.39,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City MacGregor,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City MacGregor,1,3,HUANG,Steven,LNP,Liberal National Party of Queensland,Y,13588,64.12,243,9.11,LNP,1,WOMERSLEY,Sean,GRN,Queensland Greens
Brisbane City MacGregor,1,2,Exhausted,Exhausted,Exhausted,Exhausted,N,7740,34.44,1280,48.01,LNP,1,WOMERSLEY,Sean,GRN,Queensland Greens
Brisbane City MacGregor,1,1,WOMERSLEY,Sean,GRN,Queensland Greens,N,0,0,-2666,-100.0,LNP,1,WOMERSLEY,Sean,GRN,Queensland Greens
